Melvin,M,103
Ottilia,F,5
Millie,F,105
Johnnie,F,9
Ramon,M,9
Carey,F,6
Frank,F,13
Dove,F,8
Alvah,M,18
Catharine,F,28
Judson,M,31
Zack,M,19
Brooks,M,5
Vann,M,5
Ula,F,5
Bernice,F,59
Phoebe,F,50
Jack,M,204
Madge,F,41
Milo,M,26
Budd,M,5
Clyde,M,221
Mona,F,14
Jose,M,84
Claude,F,10
Lela,F,106
Stuart,M,16
Florida,F,10
Johnie,M,18
Adda,F,14
Obie,M,9
Ardella,F,6
Mittie,F,53
Carlotta,F,6
Rae,F,10
Unknown,M,5
Bertram,M,18
Issac,M,16
Lum,M,10
Erwin,M,16
Mollie,F,283
Cecile,F,17
Starling,M,5
Lynn,M,30
Vinnie,F,20
Alpheus,M,6
Ann,F,131
Savannah,F,17
Winifred,F,92
Anastasia,F,10
Lenora,F,66
Cleveland,M,11
Etna,F,7
Rita,F,19
Merton,M,27
Kathleen,F,21
Luvenia,F,16
Fritz,M,18
Alvin,M,102
Prudence,F,17
Nick,M,40
Gorge,M,5
Albertina,F,7
Parthenia,F,5
Harriett,F,83
Emmaline,F,14
Brad,M,5
Francis,F,55
Jewel,F,5
Rosalia,F,9
Fannie,F,560
Mart,M,8
Jordan,M,23
Ferd,M,6
Myrta,F,17
Isaiah,M,40
Alyce,F,7
Elisa,F,5
Gussie,F,54
Ben,M,305
Patsy,F,15
Thad,M,6
Gregorio,M,5
Rosa,F,507
Guss,M,9
Kattie,F,8
Isiah,M,20
Pinkey,F,5
Clara,F,1226
Mark,M,85
Connie,F,12
Annis,F,7
Orrie,M,5
Elmina,F,8
Leslie,M,79
Leatha,F,6
Emanuel,M,57
Uriah,M,10
Orie,M,10
Cherry,F,6
Pinkie,F,21
Linwood,M,5
Cassius,M,17
Shirley,M,10
Jessee,M,6
Bertie,M,8
Parley,M,9
Adrian,M,18
Samual,M,5
Herman,M,347
Ophelia,F,44
Raleigh,M,14
Madora,F,5
Almer,M,5
Herbert,M,424
Ab,M,5
Cathrine,F,13
Roena,F,5
Riley,M,41
Bruno,M,7
Milton,M,149
Arnold,M,37
Onie,F,7
Marcellus,M,11
Armand,M,6
Clemmie,F,12
Kittie,F,38
Bettie,F,113
Levi,M,112
Anson,M,10
Owen,M,78
Zilpha,F,6
Emmet,M,34
Carrie,F,949
Sidney,F,16
Edgar,F,5
Aloysius,M,12
Queen,F,17
Evie,F,17
Roseanna,F,5
Charles,M,5348
Theodore,M,232
Steven,M,17
Murray,M,17
Maud,F,345
Loran,M,5
Adelia,F,18
Dempsey,M,11
Presley,M,5
Alvie,M,12
Matt,M,41
Miguel,M,12
Ione,F,9
Andre,M,6
Flem,M,8
Steve,M,52
Miner,M,5
Theadore,M,5
Emilia,F,9
King,M,27
Rosanna,F,7
Charlotta,F,5
Gust,M,23
Elsa,F,20
Elmire,F,5
Eola,F,6
Maxwell,M,9
Toney,M,7
Lue,F,19
Hudson,M,5
Oliver,M,234
Lura,F,53
Watson,M,12
Sammie,F,6
Edmund,M,67
Olen,M,8
Joe,F,5
Sanders,M,6
Reese,M,6
Wilda,F,11
Fay,F,13
Ruby,M,6
Elizabeth,F,1939
York,M,5
Freda,F,34
Forest,M,30
Katheryn,F,7
Lulie,F,8
Winfield,M,108
Eric,M,10
Hugh,M,224
Theron,M,7
Georgianna,F,18
Luella,F,111
Alba,F,6
Augusta,F,151
Della,F,391
Wellington,M,12
Media,F,8
Mildred,F,132
Cora,F,1045
Ora,F,149
Hermon,M,5
Rachael,F,12
Vernon,M,56
Alonza,M,10
Odelia,F,6
Mont,M,13
Ralph,M,317
Wheeler,M,13
Scott,M,60
Larry,M,13
Elliot,M,7
Bertha,F,1320
Charlie,M,730
Sabra,F,5
Lettie,F,62
Olaf,M,11
Dorcas,F,11
Walter,F,8
Bedford,M,7
Logan,M,13
Hattie,F,769
Doss,M,6
Vivian,M,7
Volney,M,11
Norah,F,9
Lonie,M,7
William,F,30
Marie,F,471
Liza,F,18
Lacy,F,6
Elmore,M,9
Rosella,F,25
Nolia,F,6
Newton,M,70
Spurgeon,M,5
Ottie,F,5
Priscilla,F,26
Patrick,M,248
Callie,F,131
Edith,M,5
Don,M,34
Wash,M,21
Austin,M,53
Leila,F,80
Hortense,F,14
Lucian,M,18
Elie,M,5
Effa,F,11
Thursa,F,5
Jeanette,F,55
Mazie,F,11
Everette,M,5
Adline,F,8
Webster,M,13
Dillard,M,10
Clement,M,16
Napoleon,M,31
Gardner,M,5
Sydney,M,12
Jesus,M,18
Perley,M,18
Jules,M,16
Clifford,M,127
Larkin,M,16
John,F,46
Daisy,M,5
Birtha,F,5
Emmie,F,12
Lou,F,131
Linda,F,27
